,Year,Brand,Model,Comb_CO2,Prediction
5988,2017,Ford,EXPLORER AWD,430,353.6616857
5989,2017,Ford,EXPLORER AWD,494,420.6242927
5991,2017,Ford,EXPLORER FFV AWD,475,404.8671093
5993,2017,Ford,FLEX AWD,491,411.8405433
5995,2017,GMC,ACADIA AWD,437,401.0650356
6000,2017,GMC,K1500 YUKON XL 4WD,502,476.9110105
6002,2017,GMC,K1500 YUKON XL 4WD,553,529.2562033
6012,2017,Land Rover,Range Rover,570,529.6876796
6013,2017,Land Rover,Range Rover LWB,570,529.6876796
6014,2017,Land Rover,Range Rover Sport,412,386.729836
6016,2017,Land Rover,Range Rover Sport,552,529.6876796
6017,2017,LEXUS,GX 460,548,493.065375
6019,2017,LEXUS,RX 450h AWD,297,296.2070362
6023,2017,MASERATI,LEVANTE,548,449.4907422
6024,2017,MASERATI,LEVANTE S,557,449.4907422
6026,2017,Mercedes-Benz,AMG G 65,762,628.1657189
6030,2017,Mercedes-Benz,AMG GLE 63 S,611,547.522918
6031,2017,Mercedes-Benz,AMG GLE 63 S (coupe),574,547.522918
6040,2017,NISSAN,ARMADA 4WD,588,517.5035099
6041,2017,Porsche,Cayenne,432,424.867985
6048,2017,TOYOTA,4RUNNER 4WD,491,424.5126631
6049,2017,TOYOTA,HIGHLANDER AWD,398,390.3161715
6050,2017,TOYOTA,HIGHLANDER AWD,405,390.3161715
6053,2017,TOYOTA,HIGHLANDER HYBRID AWD LE Plus,305,285.7468852
6054,2017,TOYOTA,LAND CRUISER WAGON 4WD,595,523.8595524
6058,2017,"Volvo Cars of North America, LLC",XC90 AWD,384,357.4904028
6066,2018,Aston Martin Lagonda Ltd,DB11 V12,497,532.7584607
6067,2018,Aston Martin Lagonda Ltd,DB11 V8,431,454.3231562
6074,2018,Mini,COOPER HARDTOP 4 DOOR,294,299.8907933
6075,2018,Mini,COOPER HARDTOP 4 DOOR,280,292.9173593
6076,2018,Mini,COOPER CONVERTIBLE,294,299.8907933
6079,2018,Mini,COOPER COUNTRYMAN,319,306.8642274
6088,2018,Mini,COOPER S HARDTOP 4 DOOR,316,326.7140194
6091,2018,Mini,COOPER S CONVERTIBLE,338,333.6874535
6092,2018,Mini,COOPER S COUNTRYMAN,332,336.5701007
6093,2018,Mini,COOPER S COUNTRYMAN ALL4,346,340.0568178
6096,2018,Mini,COOPER S CLUBMAN ALL4,366,344.1476045
6100,2018,Mini,JOHN COOPER WORKS CONVERTIBLE,349,340.6608875
6102,2018,Mini,JOHN COOPER WORKS HARDTOP,338,333.6874535
6104,2018,Mini,JCW COUNTRYMAN ALL4,373,344.1476045
6105,2018,BMW,X1 xDrive28i,349,347.0302518
6106,2018,BMW,X1 sDrive28i,337,340.0568178
6110,2018,BMW,230i Convertible,324,336.5701007
6114,2018,BMW,M240i xDrive Coupe,365,390.216553
6116,2018,BMW,M240i Convertible,411,394.3073397
6117,2018,BMW,M240i xDrive Convertible,365,390.216553
6118,2018,BMW,X2 xDrive28i,357,347.0302518
6119,2018,BMW,X2 sDrive28i,341,340.0568178
6123,2018,BMW,330i,360,340.6608875
6125,2018,BMW,320i,323,333.0833837
6127,2018,BMW,320i xDrive,332,336.5701007
6128,2018,BMW,330i xDrive Sports Wagon,333,336.5701007
6130,2018,BMW,340i,352,386.729836
6131,2018,BMW,340i,389,390.8206227
6134,2018,BMW,340i xDrive Gran Turismo,382,397.189987
6137,2018,BMW,328d xDrive Sports Wagon,303,308.6763646
6138,2018,BMW,X3 xDrive30i,359,347.0302518
6140,2018,BMW,M3,439,408.2542078
6145,2018,BMW,430i xDrive Coupe,333,336.5701007
6147,2018,BMW,430i xDrive Convertible,343,340.0568178
6149,2018,BMW,430i xDrive Gran Coupe,333,336.5701007
6150,2018,BMW,440i Coupe,352,386.729836
6151,2018,BMW,440i Coupe,389,390.8206227
6152,2018,BMW,440i xDrive Coupe,357,386.729836
6155,2018,BMW,440i xDrive Convertible,382,397.189987
6156,2018,BMW,440i Gran Coupe,352,386.729836
6157,2018,BMW,440i xDrive Gran Coupe,357,386.729836
6159,2018,BMW,X4 M40i,429,407.650138
6160,2018,BMW,M4 Coupe,439,408.2542078
6162,2018,BMW,M4 Convertible,450,408.2542078
6163,2018,BMW,M4 Convertible,481,418.412324
6165,2018,BMW,530i,324,336.5701007
6166,2018,BMW,530i xDrive,333,336.5701007
6167,2018,BMW,540i,367,390.216553
6170,2018,BMW,M550i xDrive,454,473.9820318
6172,2018,BMW,X5 xDrive 35d,401,379.7564019
6178,2018,BMW,640i Gran Coupe,378,397.189987
6183,2018,BMW,650i xDrive Convertible,463,473.9820318
6185,2018,BMW,650i xDrive Gran Coupe,463,473.9820318
6192,2018,BMW,X6 xDrive50i,517,491.4156169
6195,2018,BMW,740i,372,390.216553
6196,2018,BMW,740i xDrive,382,397.189987
6198,2018,BMW,750i xDrive,463,473.9820318
6205,2018,Chrysler,300,389,386.5140978
6206,2018,Chrysler,300,466,495.9658163
6207,2018,Chrysler,300 AWD,415,396.9742489
6208,2018,Chrysler,300 AWD,415,396.9742489
6209,2018,Dodge,Charger,389,386.5140978
6213,2018,Dodge,Charger SRT,546,567.7440041
6217,2018,Dodge,Challenger,389,386.5140978
6220,2018,Dodge,Challenger,494,510.5167541
6221,2018,Dodge,Challenger,523,539.6897108
6225,2018,Dodge,Challenger SRT,523,539.6897108
6227,2018,Jeep,Compass 4X2,350,327.1289946
6229,2018,Dodge,Journey,420,338.1932154
6231,2018,Dodge,Grand Caravan,445,397.5783186
6235,2018,FIAT,500 Abarth,292,297.527741
6242,2018,FIAT,124 Spider,298,300.7124231
6244,2018,Jeep,Renegade 4x2,357,336.683041
6245,2018,Jeep,Renegade 4x2,336,314.6592912
6247,2018,FIAT,500X,354,336.683041
6249,2018,ALFA ROMEO,Stelvio AWD,364,350.5169688
6250,2018,Dodge,Durango RWD,525,513.3994014
6253,2018,Dodge,Durango AWD,427,396.9742489
6254,2018,Jeep,Grand Cherokee 4X2,408,379.7564019
6258,2018,Jeep,Grand Cherokee 4X4,427,396.9742489
6259,2018,Jeep,Grand Cherokee SRT 4x4,592,570.4660942
6261,2018,Jeep,Wrangler 4X4,480,411.5251867
6263,2018,Jeep,Wrangler Unlimited 4X4,502,411.5251867
6271,2018,Dodge,Durango SRT AWD,584,570.4660942
6272,2018,Chrysler,Pacifica,401,396.672214
6279,2018,RAM,1500 4X2,513,513.3994014
6283,2018,RAM,1500 4X4,527,513.3994014
6284,2018,Dodge,Grand Caravan,445,397.5783186
6288,2018,FIAT,500X AWD,364,340.169758
6294,2018,Jeep,New Wrangler Unlimited 4X4,394,342.2336677
6299,2018,"Ferrari North America, Inc.",488 Spider,495,465.4006988
6300,2018,"Ferrari North America, Inc.",GTC4Lusso,661,611.4624656
6302,2018,"Ferrari North America, Inc.",GTC4Lusso T,524,472.3741328
6305,2018,Ford,F150 RAPTOR 4WD,546,447.3098893
6307,2018,Ford,F150 2WD BASE PAYLOAD LT TIRE,466,422.9028702
6313,2018,Ford,F150 PICKUP 2WD FFV,407,377.6040864
6317,2018,Ford,F150 PICKUP 4WD,423,383.5851191
6318,2018,Ford,F150 4WD BASE PAYLOAD LT TIRE,444,390.5585531
6319,2018,Ford,F150 2.7L 4WD GVWR>6799 LBS,423,383.5851191
6322,2018,Ford,F150 5.0L 2WD FFV GVWR>7599 LBS,520,483.6223749
6323,2018,Ford,MUSTANG,357,332.7413836
6329,2018,Lincoln,MKZ FWD,370,326.7140194
6333,2018,Lincoln,MKZ HYBRID FWD,222,191.6301212
6337,2018,Ford,FLEX AWD,494,408.3538263
6338,2018,Ford,Flex FWD,468,401.3803923
6342,2018,Lincoln,MKT AWD,523,424.1110097
6344,2018,Lincoln,MKT LIMO AWD,557,434.5711607
6345,2018,Ford,TRANSIT CONNECT VAN FFV,392,337.273789
6346,2018,Ford,TRANSIT CONNECT WAGON LWB FFV,404,344.247223
6347,2018,Ford,TRANSIT CONNECT WAGON FFV,404,344.247223
6349,2018,Ford,Transit Connect Wagon LWB FWD,404,344.247223
6353,2018,Ford,Fiesta FWD,286,280.8378095
6354,2018,Ford,Fiesta FWD,293,281.1398443
6356,2018,Lincoln,CONTINENTAL FWD,424,370.8463905
6360,2018,Ford,EDGE AWD,394,330.2007365
6362,2018,Ford,EDGE AWD,453,377.8198246
6363,2018,Lincoln,MKX AWD,467,384.7932586
6365,2018,Ford,EDGE FWD,370,326.7140194
6366,2018,Ford,EDGE FWD,435,394.4069582
6376,2018,Ford,ESCAPE FWD,372,326.7140194
6378,2018,Ford,ESCAPE FWD,369,333.787072
6379,2018,Lincoln,MKC  FWD,386,330.2007365
6380,2018,Lincoln,MKC  AWD,413,340.6608875
6381,2018,Lincoln,MKC  AWD,404,337.1741705
6382,2018,Lincoln,MKC  AWD,436,357.1484027
6386,2018,Ford,Expedition MAX 4WD,494,429.8763042
6392,2018,Ford,F150 5.0L 4WD FFV GVWR>7599 LBS,523,483.6223749
6393,2018,Ford,F150 5.0L 4WD GVWR>7599 LBS,523,483.6223749
6394,2018,Ford,EXPLORER FFV AWD,483,408.3538263
6395,2018,Ford,EXPLORER FFV 2WD,455,394.4069582
6397,2018,Ford,EXPLORER FWD,409,346.6882516
6400,2018,Ford,EXPLORER AWD,486,417.1375757
6402,2018,Ford,TAURUS AWD,471,410.1641416
6405,2018,Ford,TAURUS AWD FFV,467,401.3803923
6407,2018,Ford,F150 4WD FFV BASE PAYLOAD LT,522,483.6223749
6408,2018,Ford,FOCUS FWD,289,293.523251
6409,2018,Ford,FOCUS FWD,321,303.983402
6412,2018,Ford,FOCUS FWD,286,266.6004064
6413,2018,Ford,FOCUS FWD,264,259.6269723
6414,2018,Ford,F150 PICKUP 2WD,463,469.6755069
6416,2018,Ford,F150 PICKUP 4WD,485,476.6489409
6418,2018,Ford,ECOSPORT FWD,314,277.0605574
6420,2018,Ford,MUSTANG CONVERTIBLE,384,352.4535462
6421,2018,Ford,F150 2WD FFV BASE PAYLOAD LT,491,476.6489409
6423,2018,Ford,MUSTANG,353,345.4801121
6424,2018,Ford,MUSTANG PERFORMANCE PACKAGE,384,352.4535462
6427,2018,Ford,FOCUS RS AWD,402,364.1218367
6428,2018,Ford,F150 2WD BASE PAYLOAD LT TIRE,423,381.0908034
6432,2018,Ford,F150 PICKUP 2WD,412,386.1257662
6433,2018,Ford,F150 PICKUP 4WD,463,400.0726343
6434,2018,Ford,EDGE FWD,372,326.7140194
6435,2018,Ford,FORD GT,653,490.0565981
6442,2018,Chevrolet,CRUZE HATCHBACK,278,279.792121
6445,2018,Chevrolet,CRUZE HATCHBACK,285,283.2788381
6446,2018,Buick,REGAL,344,343.2414999
6447,2018,Buick,REGAL TOURX  AWD,366,350.5169688
6448,2018,Buick,REGAL AWD,366,350.5169688
6452,2018,Chevrolet,SONIC,306,290.9692821
6454,2018,Chevrolet,SONIC,296,286.7655551
6455,2018,Chevrolet,SONIC 5,296,286.7655551
6456,2018,Chevrolet,SONIC,280,279.792121
6462,2018,Cadillac,CT6 AWD,416,396.9742489
6466,2018,Chevrolet,CRUZE HATCHBACK,290,289.6215588
6468,2018,Cadillac,XTS LIMO,525,418.4986207
6472,2018,Chevrolet,SPARK ACTIV,269,255.084961
6473,2018,Chevrolet,SPARK,267,267.8236895
6477,2018,Cadillac,ATS,348,347.0302518
6479,2018,Cadillac,CT6,360,347.0302518
6488,2018,Buick,ENCORE,313,293.7389891
6489,2018,Chevrolet,TRAX,313,293.7389891
6491,2018,Chevrolet,IMPALA,404,387.1181676
6492,2018,Chevrolet,CORVETTE,541,567.7440041
6496,2018,Chevrolet,CAMARO,354,347.0302518
6497,2018,Chevrolet,CAMARO,379,351.1210385
6498,2018,Chevrolet,MALIBU,194,173.9996602
6499,2018,Buick,LACROSSE,306,289.527347
6501,2018,Chevrolet,CORVETTE,487,532.7429203
6504,2018,Chevrolet,MALIBU,344,343.2414999
6505,2018,Cadillac,XTS AWD,444,397.5783186
6509,2018,Cadillac,ATS AWD,358,347.0302518
6510,2018,Cadillac,CTS AWD,368,350.5169688
6512,2018,Cadillac,ATS-V,474,434.2558041
6518,2018,Chevrolet,EQUINOX AWD,337,303.8837835
6520,2018,GMC,TERRAIN AWD,319,296.5949928
6521,2018,Buick,ENCLAVE,416,400.158931
6524,2018,Chevrolet,TRAVERSE AWD,444,407.132365
6530,2018,GMC,C1500 YUKON 2WD,517,546.0857186
6533,2018,Chevrolet,K1500 TAHOE 4WD,523,546.0857186
6535,2018,GMC,K1500 YUKON 4WD,523,546.0857186
6539,2018,GMC,C15 SIERRA 2WD,495,479.7936578
6541,2018,GMC,K15 SIERRA 4WD,522,486.7670918
6543,2018,Chevrolet,C1500 SUBURBAN 2WD,468,466.4508595
6545,2018,Chevrolet,C15 SILVERADO 2WD CAB CHASSIS,523,480.3977275
6547,2018,GMC,C1500 YUKON XL 2WD,468,466.4508595
6549,2018,GMC,C15 SIERRA 2WD CAB CHASSIS,523,480.3977275
6550,2018,Chevrolet,K1500 TAHOE 4WD,497,473.4242935
6551,2018,Chevrolet,K1500 SUBURBAN 4WD,504,473.4242935
6556,2018,GMC,K15 SIERRA 4WD,489,473.4242935
6557,2018,GMC,K15 SIERRA 4WD CAB CHASSIS,523,480.3977275
6558,2018,Chevrolet,COLORADO 2WD,406,344.247223
6559,2018,GMC,CANYON 2WD,406,344.247223
6560,2018,Chevrolet,COLORADO 2WD,403,344.247223
6562,2018,Buick,ENVISION AWD,377,333.787072
6565,2018,GMC,ACADIA AWD,392,337.273789
6567,2018,GMC,CANYON 2WD,413,359.0583365
6568,2018,Chevrolet,COLORADO 4WD,450,369.5184875
6569,2018,Chevrolet,COLORADO ZR2 4WD,506,386.9520726
6571,2018,Buick,ENCORE AWD,319,293.7389891
6575,2018,GMC,ACADIA FWD,386,337.273789
6579,2018,Chevrolet,COLORADO 2WD,440,403.9476829
6581,2018,GMC,CANYON 2WD,440,403.9476829
6584,2018,Chevrolet,COLORADO ZR2 4WD,532,424.867985
6588,2018,Chevrolet,C15 SILVERADO 2WD,447,439.0206499
6591,2018,GMC,K15 SIERRA 4WD,474,426.7512753
6593,2018,Chevrolet,C1500 SUBURBAN 2WD,468,466.4508595
6594,2018,Chevrolet,C15 SILVERADO 2WD,475,466.4508595
6596,2018,GMC,C1500 YUKON XL 2WD,468,466.4508595
6598,2018,Chevrolet,K1500 TAHOE 4WD,497,473.4242935
6601,2018,GMC,K1500 YUKON XL 4WD,504,473.4242935
6604,2018,GMC,ACADIA FWD,423,390.6048846
6610,2018,Honda,ODYSSEY FWD,406,393.5008536
6615,2018,Acura,TLX AWD,369,400.4742876
6618,2018,Acura,RDX AWD,402,401.3803923
6621,2018,Honda,FIT,282,277.6664491
6622,2018,Honda,RIDGELINE FWD,410,383.9468072
6623,2018,Honda,RIDGELINE AWD,424,387.4335242
6626,2018,Honda,HR-V FWD,289,290.3652123
6627,2018,Honda,HR-V AWD,314,278.2305535
6632,2018,Honda,CIVIC 5Dr,274,300.0950316
6635,2018,Acura,RLX,316,312.6660024
6636,2018,Honda,CR-V FWD,312,300.7454328
6640,2018,Honda,ACCORD,298,289.9369155
6644,2018,Acura,MDX FWD,404,410.9344387
6645,2018,Acura,MDX AWD,404,410.9344387
6648,2018,Honda,CIVIC 4Dr,273,290.0365339
6649,2018,Honda,CIVIC 4Dr,257,270.6264062
6652,2018,Honda,CIVIC 4Dr,251,279.4767644
6654,2018,Honda,CIVIC 2Dr,258,279.4767644
6656,2018,Honda,CIVIC 4Dr,279,296.9103495
6658,2018,Honda,ACCORD,344,319.7405854
6661,2018,Honda,PILOT FWD,388,386.5274196
6663,2018,Honda,PILOT AWD,408,393.5008536
6669,2018,GENESIS,G80 RWD,442,424.1376532
6673,2018,GENESIS,G80 RWD,474,484.2264447
6674,2018,HYUNDAI MOTOR COMPANY,Santa Fe Sport FWD,379,330.6157116
6675,2018,HYUNDAI MOTOR COMPANY,Santa Fe Sport AWD,406,341.0758626
6676,2018,HYUNDAI MOTOR COMPANY,Santa Fe Sport FWD,388,330.2007365
6678,2018,HYUNDAI MOTOR COMPANY,Santa Fe Sport ULTIMATE FWD,396,330.2007365
6679,2018,HYUNDAI MOTOR COMPANY,Santa Fe Sport ULTIMATE AWD,425,340.6608875
6681,2018,HYUNDAI MOTOR COMPANY,Elantra,301,300.496685
6684,2018,HYUNDAI MOTOR COMPANY,Elantra,356,310.5418609
6687,2018,HYUNDAI MOTOR COMPANY,Sonata,342,326.1099497
6688,2018,HYUNDAI MOTOR COMPANY,Elantra GT,317,303.266392
6691,2018,HYUNDAI MOTOR COMPANY,Elantra GT,338,310.956836
6692,2018,GENESIS,G90 AWD,448,424.1376532
6693,2018,GENESIS,G90 RWD,454,424.1376532
6694,2018,GENESIS,G90 AWD,493,494.6865957
6695,2018,GENESIS,G90 RWD,482,484.2264447
6696,2018,HYUNDAI MOTOR COMPANY,Sonata,284,292.806241
6697,2018,HYUNDAI MOTOR COMPANY,Santa Fe FWD,427,381.0908034
6700,2018,HYUNDAI MOTOR COMPANY,Santa Fe Ultimate AWD,475,395.0376715
6702,2018,HYUNDAI MOTOR COMPANY,Accent,277,277.3510924
6703,2018,HYUNDAI MOTOR COMPANY,Accent,284,280.8378095
6706,2018,HYUNDAI MOTOR COMPANY,Tucson FWD,334,306.753109
6709,2018,HYUNDAI MOTOR COMPANY,Ioniq,163,185.9882943
6710,2018,HYUNDAI MOTOR COMPANY,Tucson AWD,396,341.0758626
6711,2018,HYUNDAI MOTOR COMPANY,Tucson FWD,375,330.6157116
6714,2018,HYUNDAI MOTOR COMPANY,Kona AWD,326,307.470119
6721,2018,Land Rover,Range Rover Sport,412,383.2431189
6724,2018,Land Rover,Range Rover Evoque,362,350.2149339
6729,2018,Jaguar,F-TYPE Coupe,390,405.9737364
6733,2018,Jaguar,F-TYPE S AWD Coupe,426,416.4338874
6735,2018,Jaguar,F-TYPE Coupe Manual,476,424.0113912
6737,2018,Jaguar,F-TYPE S Coupe Manual,485,434.4715422
6738,2018,Jaguar,F-TYPE S Convertible Manual,485,434.4715422
6739,2018,Jaguar,F-TYPE Coupe,346,340.0568178
6741,2018,Land Rover,Range Rover,491,512.2540945
6742,2018,Land Rover,Range Rover LWB,491,512.2540945
6749,2018,Jaguar,XF AWD,333,336.5701007
6750,2018,Jaguar,XF,289,308.6763646
6755,2018,Jaguar,XJL,503,512.2540945
6760,2018,Land Rover,Range Rover Sport,474,501.7939434
6768,2018,Land Rover,Range Rover Velar,384,357.4904028
6769,2018,Jaguar,XE,312,333.0833837
6770,2018,Jaguar,F-Pace,446,423.4073214
6773,2018,Jaguar,XE AWD,383,405.9737364
6775,2018,Jaguar,XE AWD,299,308.6763646
6777,2018,Jaguar,F-Pace,365,350.5169688
6783,2018,KIA MOTORS CORPORATION,Sorento FWD,436,388.0642375
6785,2018,KIA MOTORS CORPORATION,Sorento FWD,377,330.6157116
6786,2018,KIA MOTORS CORPORATION,Sorento AWD,414,337.1741705
6788,2018,KIA MOTORS CORPORATION,Optima,360,323.2273024
6790,2018,KIA MOTORS CORPORATION,Optima FE,310,313.1821265
6794,2018,KIA MOTORS CORPORATION,Sportage FE AWD,400,341.0758626
6795,2018,KIA MOTORS CORPORATION,Sportage FWD,392,330.2007365
6797,2018,KIA MOTORS CORPORATION,K900,512,494.6865957
6798,2018,KIA MOTORS CORPORATION,K900,448,410.2904036
6799,2018,KIA MOTORS CORPORATION,Soul,330,294.7846775
6801,2018,KIA MOTORS CORPORATION,Soul,320,303.266392
6802,2018,KIA MOTORS CORPORATION,Soul,334,307.470119
6804,2018,KIA MOTORS CORPORATION,Sedona SX,433,381.0908034
6808,2018,KIA MOTORS CORPORATION,Rio,277,277.3510924
6809,2018,KIA MOTORS CORPORATION,Forte,279,290.0365339
6812,2018,KIA MOTORS CORPORATION,Forte5,317,303.983402
6816,2018,KIA MOTORS CORPORATION,Stinger RWD,446,424.1376532
6822,2018,KIA MOTORS CORPORATION,Optima Hybrid,212,206.182321
6823,2018,KIA MOTORS CORPORATION,Cadenza,383,377.0000167
6824,2018,KIA MOTORS CORPORATION,Optima S,340,323.6422776
6828,2018,MASERATI,GRANTURISMO,572,496.2367354
6830,2018,MASERATI,QUATTROPORTE V8,517,472.3874546
6831,2018,MASERATI,QUATTROPORTE SQ4 V6,485,432.0571572
6832,2018,MASERATI,Ghibli V6 SQ4 AWD,475,421.5970061
6834,2018,MASERATI,QUATTROPORTE S,482,432.0571572
6837,2018,MASERATI,LEVANTE,548,449.4907422
6842,2018,MAZDA,MAZDA3 5-Door,286,293.523251
6848,2018,MAZDA,CX-9 2WD,362,342.5708213
6853,2018,MAZDA,CX-5 4WD,335,326.8136379
6854,2018,MAZDA,MAZDA6,328,323.3269209
6859,2018,MAZDA,MAZDA3 4-Door,312,316.3534869
6860,2018,MAZDA,MAZDA3 5-Door,319,319.8402039
6862,2018,Mercedes-Benz,GLA 250 4MATIC,337,336.8721356
6863,2018,Mercedes-Benz,CLA 250 4MATIC,328,333.3854186
6864,2018,Mercedes-Benz,C 300 4MATIC,335,343.2414999
6865,2018,Mercedes-Benz,AMG C 63,441,451.1384741
6873,2018,Mercedes-Benz,AMG C 63 (coupe),458,458.1119081
6874,2018,Mercedes-Benz,C 300 (Coupe),349,350.2149339
6875,2018,Mercedes-Benz,C 300 4MATIC (Coupe),351,350.2149339
6879,2018,Mercedes-Benz,E 400 (coupe),397,403.8613862
6882,2018,Mercedes-Benz,E 400 4MATIC (convertible),404,403.8613862
6886,2018,Mercedes-Benz,AMG GT R (coupe),522,475.5454932
6887,2018,Mercedes-Benz,S 560,426,450.5344044
6889,2018,Mercedes-Benz,AMG S 63 4MATIC,443,457.5078384
6891,2018,Mercedes-Benz,AMG S 65,574,565.4048126
6894,2018,Mercedes-Benz,S 560 4MATIC (coupe),426,450.5344044
6898,2018,Mercedes-Benz,SL 450,383,400.3746691
6907,2018,Mercedes-Benz,AMG GLA 45 4MATIC,361,343.8455696
6912,2018,Mercedes-Benz,E 400 4MATIC,396,400.3746691
6913,2018,Mercedes-Benz,E 400 4MATIC (station wagon),417,410.8348202
6915,2018,Mercedes-Benz,AMG GLC 43 4MATIC (coupe),438,417.8082542
6917,2018,Mercedes-Benz,AMG C 43 4MATIC (coupe),394,403.8613862
6918,2018,Mercedes-Benz,AMG C 43 4MATIC (convertible),405,403.8613862
6920,2018,Mercedes-Benz,CLS 550,425,472.733927
6925,2018,Mercedes-Benz,AMG CLS 63 S 4MATIC,495,516.1424649
6928,2018,Mercedes-Benz,AMG E 63 S 4MATIC,497,474.9414235
6933,2018,Mercedes-Benz,Metris (Passenger Van),431,364.7658717
6935,2018,Mercedes-Benz,"Metris (Cargo Van, LWB)",398,357.7924377
6939,2018,Mercedes-Benz,G 550,660,531.3329655
6944,2018,Mercedes-Benz,GLA 250,322,333.3854186
6945,2018,Mercedes-Benz,AMG GLC 63 4MATIC,479,474.9414235
6947,2018,Mercedes-Benz,AMG GLC 63 S 4MATIC (coupe),494,474.9414235
6948,2018,Mercedes-Benz,S 450,403,403.8613862
6951,2018,Mitsubishi Motors Corporation,MIRAGE,242,250.5145446
6954,2018,Mitsubishi Motors Corporation,MIRAGE G4,237,234.289099
6957,2018,Mitsubishi Motors Corporation,OUTLANDER 4WD,402,385.5235904
6959,2018,Mitsubishi Motors Corporation,OUTLANDER SPORT 2WD,328,307.470119
6960,2018,Mitsubishi Motors Corporation,OUTLANDER SPORT 4WD,343,310.956836
6961,2018,Mitsubishi Motors Corporation,OUTLANDER SPORT 2WD,353,327.1289946
6962,2018,Mitsubishi Motors Corporation,OUTLANDER SPORT 4WD,353,327.1289946
6965,2018,Mitsubishi Motors Corporation,ECLIPSE CROSS ES 2WD,327,306.7664308
6966,2018,Mitsubishi Motors Corporation,ECLIPSE CROSS ES 4WD,337,310.2531478
6968,2018,NISSAN,SENTRA,279,267.7704025
6969,2018,NISSAN,NV200 NYC Taxi,363,302.0068594
6970,2018,NISSAN,ALTIMA SR,296,316.051452
6971,2018,NISSAN,ALTIMA,287,293.4566422
6977,2018,NISSAN,370Z,426,414.696547
6978,2018,NISSAN,370Z Roadster,433,417.8812292
6980,2018,NISSAN,GT-R,484,451.0586759
6985,2018,INFINITI,QX60 FWD,399,404.5650744
6988,2018,NISSAN,VERSA,296,281.1398443
6992,2018,INFINITI,Q70 AWD,490,510.5300759
6993,2018,NISSAN,SENTRA,318,314.0285779
6996,2018,NISSAN,SENTRA NISMO,330,320.6999771
6998,2018,INFINITI,Q50 AWD,408,397.4920219
6999,2018,INFINITI,Q50 RED SPORT,404,397.4920219
7001,2018,INFINITI,Q60,405,397.4920219
7003,2018,INFINITI,Q70 HYBRID,296,286.9876656
7004,2018,INFINITI,Q50 HYBRID,308,290.4743826
7009,2018,INFINITI,Q50 AWD,368,347.3322867
7010,2018,INFINITI,Q60,353,343.8455696
7011,2018,INFINITI,Q60 AWD,374,347.3322867
7012,2018,INFINITI,QX30,324,333.3854186
7014,2018,NISSAN,FRONTIER 2WD,478,414.052512
7016,2018,NISSAN,FRONTIER 4WD,519,427.9993801
7019,2018,NISSAN,Rogue Sport AWD,329,310.6548012
7028,2018,NISSAN,TITAN 2WD,505,486.1230568
7033,2018,NISSAN,PATHFINDER 4WD PLATINUM,424,371.5101135
7035,2018,CHEVROLET,City Express Cargo Van,356,298.5201424
7036,2018,NISSAN,ROGUE FWD Hybrid,261,237.995783
7037,2018,NISSAN,ROGUE AWD Hybrid,276,241.4825001
7039,2018,Porsche,911 Carrera,382,394.0053049
7043,2018,Porsche,911 Carrera S,389,394.0053049
7044,2018,Porsche,911 Carrera S,363,387.0318708
7046,2018,Porsche,911 Carrera S Cabriolet,367,387.0318708
7047,2018,Porsche,911 Carrera 4,389,394.0053049
7050,2018,Porsche,911 Carrera 4 Cabriolet,370,387.0318708
7051,2018,Porsche,911 Carrera 4S,392,394.0053049
7052,2018,Porsche,911 Carrera 4S,373,387.0318708
7056,2018,Porsche,911 Targa 4,367,387.0318708
7057,2018,Porsche,911 Targa 4S,396,397.4920219
7058,2018,Porsche,911 Targa 4S,376,387.0318708
7059,2018,Porsche,911 Carrera GTS,418,404.4654559
7061,2018,Porsche,911 Carrera GTS Cabriolet,415,404.4654559
7064,2018,Porsche,911 Carrera 4 GTS,400,397.4920219
7071,2018,Porsche,911 GT3 Touring,538,455.5910813
7072,2018,Porsche,911 Carrera T,461,418.412324
7076,2018,Porsche,Boxster,353,343.8455696
7080,2018,Porsche,Boxster S,372,363.1890885
7083,2018,Porsche,Cayman S,401,370.4645575
7085,2018,Porsche,Cayman GTS,413,377.4379915
7088,2018,Porsche,Macan S,459,418.412324
7089,2018,Porsche,Macan GTS,461,418.412324
7091,2018,Porsche,Macan Turbo Kit,460,437.4404862
7092,2018,Porsche,Cayenne,432,424.867985
7098,2018,Porsche,911 Turbo,428,429.8363389
7102,2018,Porsche,911 Turbo S Exclusive,459,443.783207
7103,2018,Porsche,Panamera,369,390.216553
7106,2018,Porsche,Panamera 4 ST,390,397.189987
7107,2018,Porsche,Panamera 4S,378,394.0186266
7108,2018,Porsche,Panamera 4S Executive,378,394.0186266
7109,2018,Porsche,Panamera 4S ST,401,397.5053436
7113,2018,Rolls-Royce Motor Cars Limited,Phantom,623,618.6827535
7114,2018,Rolls-Royce Motor Cars Limited,Phantom EWB,623,618.6827535
7116,2018,Rolls-Royce Motor Cars Limited,Ghost EWB,634,615.5113931
7117,2018,Rolls-Royce Motor Cars Limited,Wraith,613,615.5113931
7118,2018,Rolls-Royce Motor Cars Limited,Dawn,634,615.5113931
7121,2018,RUF Automobile GmbH,RUFTURBO12/CTR3,497,454.243358
7122,2018,Subaru,BRZ,369,335.3638552
7123,2018,Subaru,BRZ,322,321.4169871
